originId,firstName,lastName,email,company,active,zipcode,city,street,countryCode,locationLat,locationLon,vatId,phoneNumber,shopUrl
1,Caroljean,Benaine,cbenaine0@newsvine.com,Dynava,false,40225,Düsseldorf,83 Truax Terrace,DE,51.1974375,6.7898817,468-33-0118,341-448-5087,
2,Caryl,Connechie,cconnechie1@craigslist.org,Teklist,true,90451,Nürnberg,2006 Katie Avenue,DE,49.4025357,11.0502709,458-23-4604,990-414-9876,
3,Lynda,Bartlomieczak,lbartlomieczak2@cdbaby.com,Shufflebeat,true,63073,Offenbach,480 Walton Pass,DE,50.0809432,8.8107219,861-71-1062,872-355-4233,https://homestead.com
4,Gorden,Tomkys,gtomkys3@oaic.gov.au,Flashset,false,06126,Halle,3 Petterle Parkway,DE,51.4790619,11.9027428,733-80-8507,709-541-1629,http://webeden.co.uk
5,Samara,Brunke,sbrunke4@hugedomains.com,Voonix,true,22111,Hamburg,8 Bonner Drive,DE,53.5483785,10.078217,227-06-6189,476-866-9002,http://google.co.jp
6,Bobbe,Dikes,bdikes5@msu.edu,Oyonder,true,60549,Frankfurt am Main,2 Elgar Way,DE,50.041381,8.5800547,210-86-9008,737-898-6788,
7,Felicity,Duncan,fduncan6@earthlink.net,Quinu,true,81543,München,87 Oakridge Street,DE,48.1127929,11.5681872,825-18-7415,542-182-6986,
8,Angie,Bolzen,abolzen7@gnu.org,Zoomcast,,30453,Hannover,109 Carberry Crossing,DE,52.3723858,9.6890537,242-73-8310,820-221-3681,http://google.pl
9,Lesly,Baynon,lbaynon8@upenn.edu,Dynazzy,,80686,München,2143 Straubel Terrace,DE,48.1288628,11.5089621,181-85-6580,310-108-3292,http://quantcast.com
10,Amalea,Moxley,amoxley9@furl.net,Babbleopia,false,99089,Erfurt,0 Almo Plaza,DE,50.9977219,11.0137723,163-95-3297,575-780-0897,
11,Karissa,Connor,kconnora@tmall.com,Quinu,false,44143,Dortmund,4785 Sachtjen Way,DE,51.5195303,7.5123813,105-85-0938,110-347-2643,
12,Sophie,Riggert,sriggertb@smh.com.au,Digitube,false,45141,Essen,87 North Point,DE,51.4780256,7.0328812,486-01-1019,859-242-5568,
13,Catharine,Haskins,chaskinsc@merriam-webster.com,Bluezoom,false,51149,Köln,9507 Warrior Court,DE,50.9093945,7.0486698,878-27-8738,829-502-8487,https://vk.com
14,Lindy,Seymer,lseymerd@pbs.org,Skipstorm,true,90411,Nürnberg,9289 Moulton Center,DE,49.4904742,11.0986834,145-14-1750,370-545-5486,http://apache.org
15,Bambie,Springtorp,bspringtorpe@stumbleupon.com,Twinder,true,22453,Hamburg,85 Clarendon Terrace,DE,53.6125259,9.9659855,615-74-1798,984-247-9283,
16,Mae,Brodley,mbrodleyf@taobao.com,Yadel,false,74080,Heilbronn,5519 Lighthouse Bay Junction,DE,49.1376432,9.1776059,514-11-9865,360-967-6687,
17,Tamma,Rochford,trochfordg@t-online.de,Fiveclub,true,09116,Chemnitz,88 Jay Terrace,DE,50.8290179,12.872972,111-78-7791,487-529-7993,
18,Catlin,Fountain,cfountainh@pbs.org,Fivespan,,67067,Ludwigshafen am Rhein,66647 Texas Way,DE,49.4603474,8.402137,809-61-8000,752-617-9536,http://wunderground.com
19,Der,Jovey,djoveyi@spotify.com,Quatz,false,44629,Herne,29555 Sommers Plaza,DE,51.5491768,7.2092264,271-57-3456,173-167-0807,http://behance.net
20,Curran,Earles,cearlesj@eventbrite.com,Aimbu,true,21037,Hamburg,448 Armistice Drive,DE,53.4460678,10.1569956,730-72-4920,514-234-3436,
21,Vikki,Roggeman,vroggemank@networkadvertising.org,Voonder,,80804,München,52 Green Avenue,DE,48.1700928,11.5776824,363-56-6883,496-950-3744,
22,Lucia,Pinnegar,lpinnegarl@nytimes.com,Buzzbean,true,42659,Solingen,67539 Lyons Center,DE,51.1461168,7.1220857,349-26-3984,571-636-3791,
23,Alec,Arnal,aarnalm@desdev.cn,Feednation,false,12103,Berlin,6158 Ohio Crossing,DE,52.4639426,13.3728893,890-76-5604,999-131-8776,
24,Charlene,Bolgar,cbolgarn@nih.gov,Riffwire,true,04317,Leipzig,5554 Clove Place,DE,51.3303754,12.40504,163-63-4054,127-884-5893,
25,Neille,Beyne,nbeyneo@clickbank.net,Mynte,true,45141,Essen,207 Barnett Point,DE,51.4780256,7.0328812,327-97-3006,261-605-1864,
26,Thatcher,Matus,tmatusp@yelp.com,LiveZ,false,03055,Cottbus,5 Meadow Valley Avenue,DE,51.7941895,14.3056705,355-14-5326,266-584-9150,
